"x_data    "	"FFTMAG(Rectangular(.plot_2.curve_1.y_data),164998)"
0.000000e+000	1.120652e+004
5.000000e-002	1.257923e+003
1.000000e-001	7.210245e+002
1.500000e-001	3.146885e+002
2.000000e-001	2.306610e+002
2.500000e-001	2.465249e+002
3.000000e-001	1.890320e+002
3.500000e-001	1.389909e+002
4.000000e-001	1.401800e+002
4.500000e-001	1.208436e+002
5.000000e-001	1.072943e+002
5.500000e-001	1.065624e+002
6.000000e-001	8.990321e+001
6.500000e-001	8.249573e+001
7.000000e-001	8.393280e+001
7.500000e-001	7.728907e+001
8.000000e-001	6.772016e+001
8.500000e-001	6.891591e+001
9.000000e-001	6.495029e+001
9.500000e-001	6.227909e+001
1.000000e+000	6.160114e+001
1.050000e+000	5.600235e+001
1.100000e+000	5.452340e+001
1.150000e+000	5.500453e+001
1.200000e+000	5.294968e+001
1.250000e+000	5.000567e+001
1.300000e+000	5.015675e+001
1.350000e+000	4.787218e+001
1.400000e+000	4.683688e+001
1.450000e+000	4.624298e+001
1.500000e+000	4.538242e+001
1.550000e+000	4.473544e+001
1.600000e+000	4.530448e+001
1.650000e+000	4.268845e+001
1.700000e+000	4.347384e+001
1.750000e+000	4.331479e+001
1.800000e+000	4.156445e+001
1.850000e+000	4.101643e+001
1.900000e+000	4.286259e+001
1.950000e+000	4.072883e+001
2.000000e+000	3.994462e+001
2.050000e+000	4.151670e+001
2.100000e+000	4.077940e+001
2.150000e+000	4.081198e+001
2.200000e+000	4.153910e+001
2.250000e+000	4.025621e+001
2.300000e+000	4.075492e+001
2.350000e+000	4.132258e+001
2.400000e+000	4.118664e+001
2.450000e+000	4.267490e+001
2.500000e+000	4.310607e+001
2.550000e+000	4.166483e+001
2.600000e+000	4.228038e+001
2.650000e+000	4.464075e+001
2.700000e+000	4.219062e+001
2.750000e+000	4.409777e+001
2.800000e+000	4.461996e+001
2.850000e+000	4.514173e+001
2.900000e+000	4.635634e+001
2.950000e+000	4.650085e+001
3.000000e+000	4.779060e+001
3.050000e+000	4.874776e+001
3.100000e+000	5.047170e+001
3.150000e+000	5.086257e+001
3.200000e+000	4.974164e+001
3.250000e+000	5.234694e+001
3.300000e+000	5.420858e+001
3.350000e+000	5.656245e+001
3.400000e+000	5.523079e+001
3.450000e+000	5.941972e+001
3.500000e+000	5.900897e+001
3.550000e+000	6.135077e+001
3.600000e+000	6.554702e+001
3.650000e+000	6.548325e+001
3.700000e+000	6.987282e+001
3.750000e+000	7.010927e+001
3.800000e+000	7.421847e+001
3.850000e+000	7.710001e+001
3.900000e+000	7.969182e+001
3.950000e+000	8.283858e+001
4.000000e+000	8.696574e+001
4.050000e+000	8.916804e+001
4.100000e+000	9.392618e+001
4.150000e+000	9.807371e+001
4.200000e+000	1.020096e+002
4.250000e+000	1.051778e+002
4.300000e+000	1.111742e+002
4.350000e+000	1.156095e+002
4.400000e+000	1.191606e+002
4.450000e+000	1.247181e+002
4.500000e+000	1.293902e+002
4.550000e+000	1.343031e+002
4.600000e+000	1.378058e+002
4.650000e+000	1.441717e+002
4.700000e+000	1.503712e+002
4.750000e+000	1.542178e+002
4.800000e+000	1.576241e+002
4.850000e+000	1.623743e+002
4.900000e+000	1.668601e+002
4.950000e+000	1.704071e+002
5.000000e+000	1.736716e+002
5.050000e+000	1.778301e+002
5.100000e+000	1.793642e+002
5.150000e+000	1.810205e+002
5.200000e+000	1.839071e+002
5.250000e+000	1.834727e+002
5.300000e+000	1.831602e+002
5.350000e+000	1.840920e+002
5.400000e+000	1.837404e+002
5.450000e+000	1.805269e+002
5.500000e+000	1.791703e+002
5.550000e+000	1.778906e+002
5.600000e+000	1.769767e+002
5.650000e+000	1.768871e+002
5.700000e+000	1.747087e+002
5.750000e+000	1.767855e+002
5.800000e+000	1.794769e+002
5.850000e+000	1.802694e+002
5.900000e+000	1.843434e+002
5.950000e+000	1.870307e+002
6.000000e+000	1.893703e+002
